id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,Bright Modern Garden Unit - 1BR/1BTH,1169,1462506189282101689,Holly,,Western Addition,3.777.028,-12.243.317,Entire home/apt,,2,507,2025-11-15,2.54,1,228,41,STR-0006854
5858,Creative Sanctuary,8904,1462506623299518225,Philip Jonathon,,Bernal Heights,3.774.474,-12.242.089,Entire home/apt,,30,105,2017-08-06,0.52,1,365,0,
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,1462506956810615042,Aaron,,Haight Ashbury,3.776.555,-12.245.213,Private room,,32,10,2023-07-30,0.07,20,362,0,
8339,Historic Alamo Square Victorian,24215,1462506994551169471,Rosmarie,,Western Addition,3.777.377,-12.243.614,Entire home/apt,,9,25,2019-06-28,0.13,1,339,0,STR-0000264
10537,Elegant & Cozy w/City views. Private room: Purple,36752,1462507288958203289,Teresa,,Bayview,377.175,-12.239.698,Private room,,1,46,2025-11-07,0.24,3,365,12,2022-011003STR
10578,Classic Nob Hill Studio - Roof Deck,37049,1462507294250592108,Andrew,,Nob Hill,3.779.249,-12.241.499,Entire home/apt,,30,18,2015-05-17,0.11,1,303,0,
11490,Cozy Nob Hill Nook,42681,1462507469072048383,Rachael,,Nob Hill,377.914,-12.241.149,Private room,,30,43,2025-08-12,0.22,1,90,2,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,1462506956810615042,Aaron,,Haight Ashbury,3.776.901,-12.244.701,Private room,,32,7,2022-06-11,0.04,20,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,1462506956810615042,Aaron,,Haight Ashbury,3.776.932,-12.244.723,Private room,,32,7,2025-08-27,0.05,20,365,1,
12522,Perfectly located Castro,18431,1462506864894135896,Brenda,,Castro/Upper Market,3.776.237,-12.242.992,Private room,,3,522,2025-11-04,2.70,1,36,17,STR-0000057
18231,Loft-like Apt./Garden,70224,1462508328099553475,Arlene,,Noe Valley,3.774.858,-12.242.865,Entire home/apt,,30,73,2025-10-04,0.39,1,182,2,
18904,Lower Haight Urban Zen With Private Bath,72464,1462508428062085329,Patrick,,Western Addition,3.777.247,-12.243.301,Private room,,2,520,2025-11-23,03.05,1,49,33,STR-0000094
21334,Studio loft on top of Russian Hill,81455,1462508689344034592,Joseph Douglas,,Nob Hill,377.962,-12.241.562,Entire home/apt,,30,126,2025-09-01,0.66,1,365,1,City registration pending
24111,Charming 2 Bd Rm Ocean View,96951,1462509495378446071,Jason,,Parkside,3.773.807,-12.247.554,Entire home/apt,,120,0,,,1,365,0,
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,1462509560789971438,Cathryn,,Potrero Hill,3.775.675.582.885.740,-1.224.001.693.725.580,Private room,,2,419,2025-11-16,2.22,2,254,21,STR-0000036
24723,Guest Suite in PacHeights Japantown & Fillmore St,100800,1462509591903071887,Cynthia,,Pacific Heights,3.778.897,-12.243.376,Entire home/apt,,5,517,2025-11-22,2.71,2,197,40,STR-0007279
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,1462509665277281016,Bruce,,Glen Park,3.774.159,-12.243.159,Private room,,5,81,2025-09-25,0.70,1,346,5,STR-0002528
26488,Embarcadero High Rise with Views!,112300,1462509879633679767,Micheal,,Financial District,3.779.146,-1.223.932,Entire home/apt,,360,48,2012-06-21,0.25,1,365,0,
29557,gigi's bed and breakfast,126036,1462510251548587829,Gigi,,Outer Richmond,3.777.885,-12.250.534,Entire home/apt,,2,145,2025-08-16,0.78,1,315,4,STR-0001135
32414,Cozy Sunny and Private Space,140251,1462509982859050025,Lisa,,Bernal Heights,3.774.038,-12.241.327,Entire home/apt,,30,93,2019-09-29,0.50,1,337,0,City registration pending
